question,q_word,q_pos,root,root_pos,root_lemma,wh_word,wh_head,wh_bigram,wh_pos,wh_head_pos,subj,subj_pos,subj_ner,label
What films featured the character Popeye Doyle ?,,,featured,VBD,feature,what,film,"['what', 'film']",WP,NNS,films,NNS,,WORK_OF_ART
What contemptible scoundrel stole the cork from my lunch ?,,,stole,VBD,steal,what,contemptible,"['what', 'contemptible']",WP,JJ,scoundrel,NN,,PERSON
What team did baseball 's St. Louis Browns become ?,,,become,VBD,become,what,team,"['what', 'team']",WDT,NN,team Browns,NNP,,ORG
Name the scar-faced bounty hunter of The Old West .,,,Name,VB,name,,,[],,,,,,PERSON
When was Ozzy Osbourne born ?,,,born,VBN,bear,when,be,"['when', 'be']",WRB,VBD,Osbourne,NNP,PERSON,DATE
Who was The Pride of the Yankees ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Pride,NNP,PERSON,PERSON
Who killed Gandhi ?,,,killed,VBD,kill,who,kill,"['who', 'kill']",WP,VBD,Who,WP,,PERSON
What is considered the costliest disaster the insurance industry has ever faced ?,,,considered,VBN,consider,what,be,"['what', 'be']",WP,VBZ,industry,NN,,EVENT
What sprawling U.S. state boasts the most airports ?,,,boasts,VBZ,boast,what,sprawl,"['what', 'sprawl']",WDT,VBG,state,NN,,GPE
How many Jews were executed in concentration camps during WWII ?,,,executed,VBN,execute,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What is the date of Boxing Day ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,date,NN,,DATE
Name 11 famous martyrs .,,,Name,NN,name,,,[],,,,,,PERSON
Who was the inventor of silly putty ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,inventor,NN,,PERSON
What is the highest waterfall in the United States ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,waterfall,NN,,LOC
Which two states enclose Chesapeake Bay ?,,,enclose,NN,enclose,which,two,"['which', 'two']",WDT,CD,states,NNS,,GPE
How many points make up a perfect fivepin bowling score ?,,,make,VBP,make,how,many,"['how', 'many']",WRB,JJ,points,NNS,,CARDINAL
Which company that manufactures video-game hardware sells the `` super system '' ?,,,sells,VBZ,sell,that,manufacture,"['that', 'manufacture']",WDT,VBZ,company that,WDT,,ORG
How many Community Chest cards are there in Monopoly ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,cards,NNS,,CARDINAL
When did the neanderthal man live ?,,,live,VB,live,when,do,"['when', 'do']",WRB,VBD,man,NN,,DATE
In what religion was Isis the nature goddess ?,,,was,VBD,be,what,religion,"['what', 'religion']",WDT,NN,Isis,NNP,,NORP
Where do the adventures of `` The Swiss Family Robinson '' take place ?,,,take,VB,take,where,do,"['where', 'do']",WRB,VBP,adventures,NNS,,LOC
How many people in the world speak French ?,,,speak,VBP,speak,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
How many inches over six feet is the Venus de Milo ?,,,is,VBZ,be,how,many,"['how', 'many']",WRB,JJ,inches,NNS,,CARDINAL
What 1920s cowboy star rode Tony the Wonder Horse ?,,,cowboy,NN,cowboy,what,1920,"['what', '1920']",WDT,NNS,1920s,NNS,DATE,PERSON
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,,,Shaken,JJ,shaken,what,cocktail,"['what', 'cocktail']",WDT,NN,cocktail,NN,,PRODUCT
What ISPs exist in the Caribbean ?,,,exist,VBP,exist,what,isp,"['what', 'isp']",WDT,NNS,ISPs,NNS,,ORG
What country do the Galapagos Islands belong to ?,,,belong,VBP,belong,what,country,"['what', 'country']",WP,NN,Islands,NNPS,LOC,GPE
Who was the prophet of the Muslim people ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
Who is Snoopy 's arch-enemy ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What U.S. state lived under six flags ?,,,lived,VBD,live,what,U.S.,"['what', 'U.S.']",WP,NNP,state,NN,,GPE
Where is the Loop ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,Loop,NNP,,LOC
What country 's capital is Tirana ?,,,is,VBZ,be,what,country,"['what', 'country']",WP,NN,capital,NN,,GPE
Who do Herb and Tootsie live next door to ?,,,live,VBP,live,who,do,"['who', 'do']",WP,VBP,Who Herb,NNP,PERSON,PERSON
Which city has the oldest relationship as a sister?ªî§¹ty with Los Angeles ?,,,has,VBZ,have,which,city,"['which', 'city']",WDT,NN,city,NN,,GPE
What are the names of the tourist attractions in Reims ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,names,NNS,,FAC
What body of water does the Danube River flow into ?,,,flow,NN,flow,what,body,"['what', 'body']",WDT,NN,River,NNP,LOC,LOC
Who is the founder of Scientology ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
Who starred in Singing in the Rain and The Singing Nun ?,,,starred,VBD,star,who,star,"['who', 'star']",WP,VBD,Who,WP,,PERSON
What 19th-century painter died in the Marquesas Islands ?,,,died,VBD,die,what,19th,"['what', '19th']",WP,JJ,painter,NN,,PERSON
What country did the Nazis occupy for?,,,occupy,VB,occupy,what,country,"['what', 'country']",WP,NN,Nazis,NNPS,NORP,GPE
How many species of the Great White shark are there ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What is the nickname for the state of Mississippi ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,nickname,NN,,GPE
How many villi are found in the small intestine ?,,,found,VBN,find,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What country did King Wenceslas rule ?,,,did,VBD,do,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
Who were the five Marx brothers ?,,,were,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
In which year was New Zealand excluded from the ANZUS alliance ?,,,was,VBD,be,which,year,"['which', 'year']",WDT,NN,,,,DATE
When did CNN begin broadcasting ?,,,begin,VB,begin,when,do,"['when', 'do']",WRB,VBD,CNN,NNP,ORG,DATE
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,,,features,VBZ,feature,what,J.R.R.,"['what', 'J.R.R.']",WP,NNP,book,NN,,WORK_OF_ART
What company 's logo is a `` W '' in a circle ?,,,is,VBZ,be,what,company,"['what', 'company']",WP,NN,logo,NN,,ORG
When did Rococo painting and architecture flourish ?,,,flourish,NN,flourish,when,do,"['when', 'do']",WRB,VBD,painting,NN,,DATE
What country 's national passenger rail system is called Via ?,,,called,VBN,call,what,country,"['what', 'country']",WP,NN,,,,GPE
Who invented Make-up ?,,,invented,VBD,invent,who,invent,"['who', 'invent']",WP,VBD,Who,WP,,PERSON
Which of the following was Rhodes Scholar ?,,,was,VBD,be,which,of,"['which', 'of']",WDT,IN,Which,WDT,,PERSON
Who comprised the now-defunct comic book team known as the Champions ?,,,comprised,VBD,comprise,who,comprise,"['who', 'comprise']",WP,VBD,Who,WP,,PERSON
What U.S. state is Fort Knox in ?,,,is,VBZ,be,what,U.S.,"['what', 'U.S.']",WP,NNP,state,NN,,GPE
Where is the highest point in Japan ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,point,NN,,LOC
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,,,go,VB,go,where,do,"['where', 'do']",WRB,VBZ,Rubble he,PRP,,LOC
What are the world 's four oceans ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,oceans,NNS,,LOC
What 's the only work by Michelangelo that bears his signature ?,,,'s,VBZ,be,that,bear,"['that', 'bear']",WDT,VBZ,What work that,WDT,,WORK_OF_ART
