question,q_word,q_pos,root,root_pos,root_lemma,wh_word,wh_head,wh_bigram,wh_pos,wh_head_pos,subj,subj_pos,subj_ner,label,o_label
How did serfdom develop in and then leave Russia ?,,,develop,VB,develop,How,did,"['How', 'did']",WRB,AUX,serfdom,NOUN,,DESC:manner,
What films featured the character Popeye Doyle ?,,,featured,VBD,feature,What,films,"['What', 'films']",WP,NOUN,films,NOUN,,ENTY:creation,WORK_OF_ART
How can I find a list of celebrities ' real names ?,,,find,VB,find,How,can,"['How', 'can']",WRB,AUX,I,PRON,,DESC:manner,
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,,,grabs,VBZ,grab,What,fowl,"['What', 'fowl']",WDT,NOUN,,,,ENTY:animal,
What is the full form of .com ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,form,NOUN,,ABBR:explanation,
What contemptible scoundrel stole the cork from my lunch ?,,,stole,VBD,steal,What,scoundrel,"['What', 'scoundrel']",WP,NOUN,scoundrel,NOUN,,HUM:identity,PERSON
What team did baseball 's St. Louis Browns become ?,,,become,VBD,become,What,team,"['What', 'team']",WDT,NOUN,team Browns,PROPN,,HUM:organization,ORG
What is the oldest profession ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,profession,NOUN,,HUM:title,
What are liver enzymes ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,What,PRON,,DESC:definition,
Name the scar-faced bounty hunter of The Old West .,,,Name,VB,name,,,[],,,,,,HUM:identity,PERSON
When was Ozzy Osbourne born ?,,,born,VBN,bear,When,was,"['When', 'was']",WRB,AUX,Osbourne,PROPN,PERSON,NUM:date,DATE
Why do heavier objects travel downhill faster ?,,,objects,NNS,object,Why,do,"['Why', 'do']",WRB,AUX,,,,DESC:reason,
Who was The Pride of the Yankees ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,Pride,PROPN,PERSON,HUM:identity,PERSON
Who killed Gandhi ?,,,killed,VBD,kill,Who,killed,"['Who', 'killed']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What is considered the costliest disaster the insurance industry has ever faced ?,,,considered,VBN,consider,What,is,"['What', 'is']",WP,AUX,industry,NOUN,,ENTY:event,EVENT
What sprawling U.S. state boasts the most airports ?,,,boasts,VBZ,boast,What,sprawling,"['What', 'sprawling']",WDT,VERB,state,NOUN,,LOC:state,LOC
What did the only repealed amendment to the U.S. Constitution deal with ?,,,did,VBD,do,What,did,"['What', 'did']",WP,AUX,,,,DESC:description,
How many Jews were executed in concentration camps during WWII ?,,,executed,VBN,execute,How,were,"['How', 'were']",WRB,AUX,,,,NUM:count,QUANTITY
What is `` Nine Inch Nails '' ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,Nails,NOUN,,DESC:definition,
What is an annotated bibliography ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What bibliography,NOUN,,DESC:definition,
What is the date of Boxing Day ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,date,NOUN,,NUM:date,DATE
What articles of clothing are tokens in Monopoly ?,,,are,VBP,be,What,articles,"['What', 'articles']",WP,NOUN,articles,NOUN,,ENTY:other,
Name 11 famous martyrs .,,,Name,NN,name,,,[],,,,,,HUM:identity,PERSON
What 's the Olympic motto ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,motto,NOUN,,DESC:description,
What is the origin of the name ` Scarlett ' ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,origin,NOUN,,DESC:description,
What 's the second-most-used vowel in English ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,vowel,NOUN,ORG,ENTY:letter,
Who was the inventor of silly putty ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,inventor,NOUN,,HUM:identity,PERSON
What is the highest waterfall in the United States ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,waterfall,NOUN,,LOC:other,LOC
Name a golf course in Myrtle Beach .,,,Name,VB,name,,,[],,,,,,ENTY:other,
Which two states enclose Chesapeake Bay ?,,,enclose,NN,enclose,Which,states,"['Which', 'states']",WDT,NOUN,states,NOUN,,LOC:state,LOC
What does the abbreviation AIDS stand for ?,,,stand,VB,stand,What,does,"['What', 'does']",WP,AUX,AIDS,PROPN,,ABBR:explanation,
What does a spermologer collect ?,,,collect,VB,collect,What,does,"['What', 'does']",WP,AUX,spermologer,NOUN,,ENTY:other,
How many points make up a perfect fivepin bowling score ?,,,make,VBP,make,How,points,"['How', 'points']",WRB,NOUN,points,NOUN,,NUM:count,QUANTITY
Which company that manufactures video-game hardware sells the `` super system '' ?,,,sells,VBZ,sell,that,manufactures,"['that', 'manufactures']",WDT,VERB,company that,PRON,,HUM:organization,ORG
How many Community Chest cards are there in Monopoly ?,,,are,VBP,be,How,cards,"['How', 'cards']",WRB,NOUN,cards,NOUN,,NUM:count,QUANTITY
What do Mormons believe ?,,,believe,VB,believe,What,do,"['What', 'do']",WP,AUX,Mormons,NOUN,,DESC:description,
When did the neanderthal man live ?,,,live,VB,live,When,did,"['When', 'did']",WRB,AUX,man,NOUN,,NUM:date,DATE
In what religion was Isis the nature goddess ?,,,was,VBD,be,what,religion,"['what', 'religion']",WDT,NOUN,Isis,PROPN,,ENTY:religion,NORP
Where do the adventures of `` The Swiss Family Robinson '' take place ?,,,take,VB,take,Where,do,"['Where', 'do']",WRB,AUX,adventures,NOUN,,LOC:other,LOC
What relative of the racoon is sometimes known as the cat-bear ?,,,known,VBN,know,What,relative,"['What', 'relative']",WDT,NOUN,,,,ENTY:animal,
How can I register my website in Yahoo for free ?,,,register,VB,register,How,can,"['How', 'can']",WRB,AUX,I,PRON,,DESC:manner,
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,Drake,PROPN,PERSON,ENTY:other,
How many people in the world speak French ?,,,speak,VBP,speak,How,people,"['How', 'people']",WRB,NOUN,people,NOUN,,NUM:count,QUANTITY
How many inches over six feet is the Venus de Milo ?,,,is,VBZ,be,How,inches,"['How', 'inches']",WRB,NOUN,inches,NOUN,,NUM:count,QUANTITY
How do they find or choose witnesses to an execution ?,,,find,VB,find,How,do,"['How', 'do']",WRB,AUX,they,PRON,,DESC:manner,
What 1920s cowboy star rode Tony the Wonder Horse ?,,,cowboy,NN,cowboy,What,1920s,"['What', '1920s']",WDT,NOUN,1920s,NOUN,DATE,HUM:identity,PERSON
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,,,Shaken,JJ,shaken,What,cocktail,"['What', 'cocktail']",WDT,NOUN,cocktail,NOUN,,ENTY:food,PRODUCT
What ISPs exist in the Caribbean ?,,,exist,VBP,exist,What,ISPs,"['What', 'ISPs']",WDT,NOUN,ISPs,NOUN,,HUM:organization,ORG
How do you ask a total stranger out on a date ?,,,ask,VB,ask,How,do,"['How', 'do']",WRB,AUX,you,PRON,,DESC:manner,
What weapon is the mythological character Apollo most proficient with ?,,,is,VBZ,be,What,weapon,"['What', 'weapon']",WDT,NOUN,,,,ENTY:other,
What country do the Galapagos Islands belong to ?,,,belong,VBP,belong,What,country,"['What', 'country']",WP,NOUN,Islands,PROPN,LOC,LOC:country,LOC
What is ethology ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,ethology,NOUN,,DESC:definition,
Who was the prophet of the Muslim people ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,,,,HUM:identity,PERSON
Where did the term `` 86ed '' come from ?,,,come,VB,come,Where,did,"['Where', 'did']",WRB,AUX,term,NOUN,,DESC:description,
Who is Snoopy 's arch-enemy ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,,,,HUM:identity,PERSON
